RESP_FINAL;filename;A1R;A2R;L*(D65);a*(D65);b*(D65);C*(D65);h(D65);Image_SkinCluster;DE2000_centroid_1;DE76_centroid_1;DE2000_centroid_2;DE76_centroid_2;DE2000_centroid_3;DE76_centroid_3;DE2000_centroid_4;DE76_centroid_4;DE2000_centroid_5;DE76_centroid_5;DE2000_centroid_6;DE76_centroid_6;closest_centroid_DE2000;closest_centroid_Euclidean;two_closest_clusters_DE2000;two_close_deltaE_DE2000;single_cluster;eval_cluster
3174;317403_81.jpg;3;5;62.9;12.4833333333333;16.0833333333333;20.38;52.1433333333333;3;3.85596241499933;4.62602661278793;2.18047007358713;2.46146749363509;4.95063923394317;5.49269110323488;9.40042096328043;10.6209802853702;16.6480592903037;17.4600607737265;25.0898546664051;25.2322337937453;2;2;[];FAUX;FAUX;2
4083;408303_81.jpg;3;3;62.9066666666667;9.66166666666667;19.33;21.6216666666667;63.405;1;3.88452574389151;5.27138633462667;5.83398176763573;6.40496530478937;3.24684191847392;3.7506551279595;10.4001396715854;11.916994051447;16.763948215972;17.5045321908991;25.4376491452584;25.7633062168314;3;3;[];FAUX;FAUX;3
3072;307203_81.jpg;2;2;62.92;11.6966666666667;16.8;20.4816666666667;55.0283333333333;2;3.43024967850276;4.33789247343813;3.04196324786163;3.35831472285992;4.2554428917659;4.7847094420084;9.51664087273781;10.7823131923432;16.6066477003959;17.4011487487975;25.1343105231608;25.3000977161046;2;2;[2. 1];VRAI;FAUX;2
1080;108003_81.jpg;2;2;62.9416666666667;11.4366666666667;17.155;20.6383333333333;56.3866666666667;2;3.3374784743583;4.32665832048501;3.40976173204412;3.76017803952005;4.0266661249623;4.54399298219333;9.6094911515679;10.912960439567;16.6161939842709;17.40141676863;25.1790216198901;25.3643471344238;1;2;[1. 2];VRAI;FAUX;2
4002;400203_81.jpg;1;1;62.9583333333333;12.3433333333333;19.0183333333333;22.675;57.0316666666667;3;3.84179273154811;5.65904732854095;3.85077001400011;4.89100364615144;4.03359973525131;4.61367351828598;9.91178360774053;11.763254226616;16.6125132627715;17.3565131866974;25.307433825443;25.7567276001177;1;3;[1. 2];VRAI;FAUX;3
1009;100903_81.jpg;1;1;62.9683333333333;10.465;17.9583333333333;20.7916666666667;59.7783333333333;2;3.29079015822045;4.40174555022083;4.54391024826862;4.92930325254548;3.48657229451284;4.01289968587415;9.92155260353391;11.2648818852613;16.6801109252543;17.4552331376263;25.3019099704859;25.5185637766357;1;3;[1. 3];VRAI;FAUX;3
4139;413903_81.jpg;4;4;62.9933333333333;12.0416666666667;18.42;22.0633333333333;56.5816666666667;1;3.62596861120787;5.1455884557119;3.70034058199934;4.47324795000481;4.0245058476073;4.51692895917372;9.8370248837605;11.4915699778384;16.639616982862;17.384432132099;25.3006649183824;25.6521717187627;1;2;[1. 2];VRAI;FAUX;3
3095;309503_81.jpg;2;3;63.0016666666667;12.7183333333333;13.2416666666667;18.3866666666667;45.975;2;4.74095292461277;5.19666639940131;1.69808588968571;2.3488738436394;6.51980741678178;7.55019260239984;9.42642376401714;10.3936362741824;17.0663840515524;18.1760412356487;25.1831449983214;25.2094163954662;2;2;[];FAUX;VRAI;2
3024;302403_81.jpg;1;1;63.0766666666667;12.5866666666667;15.5083333333333;19.9916666666667;50.7766666666667;3;3.89882661116411;4.51908821924659;1.98661915592437;2.24138164235068;5.3512611343418;5.98322028676866;9.50280800424564;10.6716942578643;16.8439296651027;17.7248119407043;25.2474874078915;25.3604835324565;2;2;[];FAUX;FAUX;2
3075;307503_81.jpg;2;2;63.0866666666667;11.1;17.985;21.1416666666667;58.3183333333333;3;3.25981786354851;4.4739284874829;4.11758431977263;4.60242719780673;3.77612138317776;4.28053767391175;9.91845223280654;11.3601849799102;16.7398005813207;17.5200885493703;25.3843059637847;25.6373231073588;1;3;[];FAUX;FAUX;3
4046;404603_81.jpg;2;2;63.0916666666667;11.6616666666667;16.0383333333333;19.8333333333333;54.0083333333333;1;3.32544734168321;4.01462430786908;2.78320370984619;3.03584282641026;4.62746152429725;5.29332362509605;9.55732657877502;10.7268638629067;16.7830976649265;17.6629614825299;25.2648104943948;25.379197682354;2;2;[];FAUX;FAUX;2
2002;200203_81.jpg;1;1;63.1466666666667;12.57;17.1666666666667;21.2916666666667;53.7116666666667;1;3.65085128229336;4.74212563683793;2.78371628455078;3.32718933769765;4.74374590646493;5.23367514807287;9.73204899480435;11.1908737619346;16.7982863437037;17.5907633590915;25.3710523049925;25.6185308365297;2;2;[];FAUX;FAUX;2
4088;408803_81.jpg;3;3;63.16;9.89166666666667;16.75;19.46;59.4583333333333;1;2.90616290678458;3.62238449704672;4.5023250271085;4.72503292169601;3.7675333422215;4.58919413162897;9.94203436477662;11.0604446615455;16.882635469281;17.7900572261899;25.4325525117136;25.5373393832987;1;1;[];FAUX;FAUX;1
3062;306203_81.jpg;1;2;63.2383333333333;10.955;15.8416666666667;19.265;55.3433333333333;3;2.95325993417775;3.56598241099918;3.2859586333618;3.54792388431445;4.46475049440487;5.30468634531979;9.69951090840259;10.8145132679295;16.9157558496228;17.8724675750782;25.4059211228311;25.4937227023089;1;2;[1. 2];VRAI;FAUX;2
4032;403203_81.jpg;1;1;63.35;10.74;19.2233333333333;22.0366666666667;60.96;1;3.39356816997808;4.99757385582688;5.08293677292415;5.83761176433574;3.72137496239462;4.31031450257532;10.4583362278604;12.1582116740543;17.0063424550301;17.8163186744937;25.7563964488983;26.1426543751352;1;3;[1. 3];VRAI;FAUX;3
4185;418503_81.jpg;1;1;63.3583333333333;11.205;16.0383333333333;19.5733333333333;54.9983333333333;1;2.93759579972051;3.57328474780403;3.22870100639782;3.50391645955715;4.579586132513;5.34864131241653;9.80194081329097;10.9752067811449;17.001866342351;17.9469597394347;25.5231545707704;25.6344747795273;1;2;[1. 2];VRAI;FAUX;1
1014;101403_81.jpg;1;1;63.3633333333333;10.24;13.19;16.7083333333333;52.31;2;3.24609208022504;4.00944024910099;3.25954679958496;4.23604899772313;5.46821873096527;7.19286760926715;9.66635603936413;10.68759301454;17.2443262139688;18.6359154442288;25.4776730442068;25.5123991641537;1;1;[1. 2];VRAI;FAUX;2
2118;211803_81.jpg;3;3;63.37;11.4366666666667;16.5183333333333;20.0933333333333;55.34;1;2.9996284206801;3.76086167726966;3.27387291541349;3.58300347318962;4.52273082074264;5.17974715170109;9.85903049229322;11.1166682908545;16.9895460604212;17.8873758245554;25.5526979468395;25.7034948445191;1;2;[1. 2];VRAI;FAUX;2
4024;402403_81.jpg;1;1;63.38;11.6733333333333;14.4;18.5983333333333;50.93;1;3.47164302831407;3.91039782005757;2.40612153388152;2.86842194323716;5.52126757256647;6.5445303710639;9.6661901159628;10.7230240344991;17.1488747461495;18.245047120916;25.4985769985699;25.5511286987048;2;2;[];FAUX;FAUX;2
4073;407303_81.jpg;2;2;63.3833333333333;9.115;18.5866666666667;20.7033333333333;63.8816666666667;1;3.46639220957097;4.45006148521818;6.03163599488913;6.39988910494202;3.67613239293423;4.27614474601701;10.7256026464675;12.0657123241394;17.1984714801266;18.042724680294;25.8710386691125;26.100770369644;1;3;[1. 3];VRAI;FAUX;1
2066;206603_81.jpg;2;2;63.4616666666667;11.5516666666667;14.9666666666667;18.94;52.2916666666667;1;3.19315722564956;3.65314248284951;2.66353705424672;3.02754851323641;5.24452692550188;6.17727151202967;9.76555316147107;10.8698259722347;17.159210823428;18.2102475729098;25.5834985649087;25.6571364341386;2;2;[];FAUX;FAUX;1
2143;214303_81.jpg;2;4;63.4816666666667;11.9733333333333;18.1866666666667;21.7816666666667;56.7116666666667;3;3.23983760569603;4.64974820106781;3.79228940854547;4.51166543529105;4.3856544449649;4.93872706271565;10.1852118420934;11.8280045513462;17.044555884127;17.8761151167323;25.7476602037759;26.0842153737977;1;2;[];FAUX;FAUX;2
2087;208703_81.jpg;2;3;63.4983333333333;11.0183333333333;14.235;18.15;52.35;1;3.10312705090771;3.58103763671307;2.87962217322299;3.44766064004114;5.34855470253906;6.57623224616919;9.7671173961523;10.816954156426;17.2443944193447;18.4289635417248;25.6046660855583;25.6516568124209;2;2;[2. 1];VRAI;FAUX;2
3028;302803_81.jpg;1;1;63.5516666666667;11.42;16.5233333333333;20.09;55.3483333333333;3;2.85989345123606;3.60101104629734;3.36990922194235;3.70127643147904;4.63679965426787;5.32039602744842;10.0087484407842;11.2919003665853;17.1388640350383;18.0679443736383;25.7240453237139;25.8840494105712;1;1;[];FAUX;FAUX;2
4197;419703_81.jpg;2;2;63.5683333333333;11.3466666666667;16.005;19.64;54.6566666666667;1;2.84278762596329;3.44561637769242;3.21329422103992;3.51940888344745;4.7943754851309;5.57261508529782;9.96015236766035;11.171842830179;17.1753053365397;18.1518448710378;25.7172736001471;25.8421826778536;1;1;[1. 2];VRAI;FAUX;2
1057;105703_81.jpg;2;2;63.5916666666667;12.58;17.1533333333333;21.3416666666667;53.6133333333333;2;3.37610521196447;4.43316071092497;2.99444270723215;3.57444828687667;5.03074834957621;5.58885025942029;10.0909866256395;11.6034067076106;17.165901429311;18.035616075483;25.7903531557078;26.0566008378342;2;2;[2. 1];VRAI;FAUX;2
