RESP_FINAL;filename;eval_cluster;single_cluster;Image_SkinCluster
3167;316703_81.jpg;4;FAUX;4
3124;312403_81.jpg;4;FAUX;4
4090;409003_81.jpg;4;VRAI;2
2163;216303_81.jpg;4;FAUX;3
3204;320403_81.jpg;4;FAUX;4
2192;219203_81.jpg;4;FAUX;3
2073;207303_81.jpg;4;VRAI;2
3168;316803_81.jpg;3;FAUX;3
2090;209003_81.jpg;4;FAUX;2
2166;216603_81.jpg;4;FAUX;3
3116;311603_81.jpg;4;FAUX;4
4234;423403_81.jpg;4;FAUX;3
1094;109403_81.jpg;4;FAUX;4
4240;424003_81.jpg;4;FAUX;3
3198;319803_81.jpg;4;FAUX;4
1135;113503_81.jpg;4;FAUX;2
1146;114603_81.jpg;4;FAUX;4
4143;414303_81.jpg;4;FAUX;3
3166;316603_81.jpg;4;FAUX;4
2001;200103_81.jpg;4;FAUX;2
1100;110003_81.jpg;4;FAUX;3
4210;421003_81.jpg;4;FAUX;3
2106;210603_81.jpg;4;FAUX;3
2179;217903_81.jpg;3;FAUX;3
4112;411203_81.jpg;3;FAUX;3
2149;214903_81.jpg;4;FAUX;2
2220;222003_81.jpg;3;FAUX;3
2159;215903_81.jpg;3;FAUX;3
4138;413803_81.jpg;4;FAUX;3
2021;202103_81.jpg;3;FAUX;3
4157;415703_81.jpg;4;FAUX;3
2053;205303_81.jpg;4;FAUX;4
2108;210803_81.jpg;4;FAUX;3
3133;313303_81.jpg;4;FAUX;4
3140;314003_81.jpg;4;FAUX;4
4155;415503_81.jpg;4;FAUX;3
3135;313503_81.jpg;4;FAUX;4
1130;113003_81.jpg;3;FAUX;4
4236;423603_81.jpg;3;FAUX;3
3139;313903_81.jpg;4;FAUX;4
3132;313203_81.jpg;3;FAUX;4
3172;317203_81.jpg;4;FAUX;4
4193;419303_81.jpg;2;FAUX;2
3112;311203_81.jpg;3;FAUX;4
4100;410003_81.jpg;4;FAUX;2
1128;112803_81.jpg;3;FAUX;4
4146;414603_81.jpg;3;FAUX;3
1068;106803_81.jpg;3;FAUX;3
2034;203403_81.jpg;3;FAUX;3
